sector,index,name,netIncome,totalRevenue,marketCap_netIncome,currentPrice,sharesOutstanding,marketCap,ticker,netIncome_sharesOutstanding,marketCap_totalRevenue
Consumer Defensive,8410,Weis Markets Inc.,103389000.0,3485215000.0,11.426550373443982,43.92,26898443,1181379616.56,WMK,3.843679725253986,0.3389689349322782
Consumer Cyclical,3035,Francesca's Holdings Corporation,534000.0,457712000.0,290.6664030617978,4.285,36223071,155215859.235,FRAN,0.014741985846534106,0.3391124970177754
Communication Services,4603,KT Corporation,678146182.0,20634927587.0,10.337078613678607,14.35,488505254,7010050394.9,KT,1.3882065268432098,0.3397177123759974
Basic Materials,733,Boise Cascade L.L.C.,129658000.0,4909582000.0,12.87590824785204,42.925,38892592,1669464511.6,BCC,3.3337454083800844,0.3400420874119222
Consumer Cyclical,7451,Sypris Solutions Inc.,-5348000.0,85773000.0,-5.481583646222887,1.37,21398182,29315509.340000004,SYPR,-0.24992777423801704,0.34178015622631835
Consumer Cyclical,7778,Townsquare Media Inc. Class A,-38795000.0,492157000.0,-4.3423716049748675,8.915,18896501,168462306.415,TSQ,-2.053025583942763,0.3422938339086917
Consumer Cyclical,3356,General Motors Company,-4696000000.0,144197000000.0,-10.52007120629046,35.015,1410888316,49402254384.74,GM,-3.3283995244312448,0.3426025117356117
Technology,596,AutoWeb Inc.,-81267000.0,131834000.0,-0.5560479099757589,3.49,12947950,45188345.5,AUTO,-6.276437582783375,0.34276700623511386
Industrials,6441,Quest Resource Holding Corporation.,-4511332.0,107060460.0,-8.146622593947862,2.4,15313383,36752119.199999996,QRHC,-0.2946006117655387,0.34328377815675365
Basic Materials,3060,Forterra Inc.,18740000.0,1511473000.0,27.70390956803629,8.085,64214133,519171265.30500007,FRTA,0.29183606668021195,0.34348695961158426
Consumer Cyclical,3243,Greif Inc. Corporation Class B,202600000.0,3854200000.0,6.567206095261598,60.15,22119966,1330515954.8999999,GEF.B,9.15914608548675,0.34521196484354727
Consumer Defensive,3974,iFresh Inc.,-2399422.0,135248142.0,-19.462774133103725,3.188,14648497,46699408.436000004,IFMK,-0.16379987653340816,0.34528687600011543
Consumer Cyclical,6709,Red Robin Gourmet Burgers Inc.,15693000.0,1500779000.0,33.044123322500475,39.9,12996527,518561427.29999995,RRGB,1.20747642812576,0.34552817390168705
Consumer Cyclical,1506,Cumulus Media Inc.,-209843000.0,844780000.0,-1.391368468569359,17.85,16356803,291968933.55,CMLS,-12.829096248209384,0.34561534784204173
Consumer Cyclical,5045,M/I Homes Inc.,84183000.0,2094080000.0,8.606925769811008,25.36,28570853,724556832.08,MHO,2.946464356524462,0.3460024603071516
Industrials,1270,CDTI Advanced Materials Inc.,-4048000.0,19085000.0,-1.6365835245800395,0.3255,20352965,6624890.1075,CDTI,-0.19888994060570536,0.3471254968561698
Industrials,7586,Triumph Group Inc.,-499994000.0,3250162000.0,-2.261497476769721,22.7,49812122,1130735169.3999999,TGI,-10.037596872504247,0.3479011721261894
Consumer Cyclical,1711,CSS Industries Inc.,-47932000.0,377699000.0,-2.741707833180339,14.41,9119746,131415539.86,CSS,-5.2558481343669,0.34793721947900313
Technology,1190,CBAK Energy Technology Inc.,-21655773.0,57683095.0,-0.9296444707376641,0.7555,26647478,20132169.628999997,CBAK,-0.8126762690262845,0.3490133396795022
Healthcare,330,Amedica Corporation,-12825000.0,9720000.0,-0.26451551019103314,0.2858,11869879,3392411.4182,AMDA,-1.080465942407669,0.3490135203909465
Basic Materials,2406,Emerge Energy Services LP representing Limited Partner Interests,21554000.0,414948000.0,6.723932039528626,4.67,31033754,144927631.18,EMES,0.6945340869815492,0.34926697123494993
Industrials,1379,Charah Solutions Inc.,22892000.0,484621000.0,7.432093298969072,5.85,29082988,170135479.79999998,CHRA,0.7871268247953065,0.35106914434166075
Consumer Cyclical,2451,Global Eagle Entertainment Inc.,-271568000.0,633594000.0,-0.8201540297825959,2.44,91281799,222727589.56,ENT,-2.975050918967975,0.3515304588742949
Utilities,1408,Comp En De Mn Cemig ADS American Depositary Receipts,280872200.015,6523621285.389999,8.174809019373857,1.574,1458752601,2296076593.974,CIG.C,0.19254272439511488,0.3519635020990852
Industrials,8324,WESCO International Inc.,178578000.0,8094714000.0,16.002848964738096,60.675,47099411,2857756762.4249997,WCC,3.791512382182444,0.35303986804536885
Consumer Cyclical,3007,Fuling Global Inc.,6277797.0,127250022.0,7.163911838818618,2.85,15780205,44973584.25,FORK,0.3978273412797869,0.3534269271089006
Technology,1054,BSQUARE Corporation,-12817000.0,79003000.0,-2.182219084029024,2.2,12713410,27969502.000000004,BSQR,-1.0081480893009822,0.35403088490310497
Consumer Cyclical,4122,InnerWorkings Inc.,4496000.0,1147947000.0,90.39432139679715,7.79,52171100,406412869.0,INWK,0.0861779797627422,0.3540345233708525
Technology,5412,Net Element Inc.,-8300226.0,62808953.0,-2.682499369294282,5.77,3858813,22265351.009999998,NETE,-2.150979070506915,0.35449326802183756
Consumer Cyclical,2680,Express Inc.,38450000.0,2165422000.0,20.000812071781535,10.48,73380842,769031224.1600001,EXPR,0.5239787245831821,0.3551415032081507
Technology,7920,Unisys Corporation,53800000.0,2786900000.0,18.418792582249072,19.425,51013181,990931040.9250001,UIS,1.0546293907843152,0.35556749109225305
Communication Services,4135,iPass Inc.,-19507000.0,48603000.0,-0.8868439924129801,2.06,8397896,17299665.76,IPAS,-2.322843721808415,0.3559382293274078
Technology,2669,EXFO Inc,-7107000.0,262607000.0,-13.211197411003237,4,23472995,93891980.0,EXFO,-0.30277346371862646,0.3575379940367165
Consumer Cyclical,1992,DHX Media Ltd.,-7861806.966,334283453.071,-15.212077581809199,0.89,134375750,119594417.5,DHXM,-0.05850614389873173,0.35776349801735113
Industrials,7383,Sterling Construction Company Inc,20877000.0,1049356000.0,18.01928700483786,13.9,27063932,376188654.8,STRL,0.7713956715528254,0.35849478613549646
Industrials,3818,Hyster-Yale Materials Handling Inc. Class A,34600000.0,3040400000.0,31.508402826589595,65.85,16555668,1090190737.8,HY,2.0899186912904995,0.3585681942507565
Utilities,1407,Comp En De Mn Cemig ADS American Depositary Shares,280872200.015,6523621285.389999,8.3358122465661,1.605,1458752601,2341297924.605,CIG,0.19254272439511488,0.35889543892568726
Industrials,3794,Hub Group Inc.,153495000.0,4492000000.0,10.516397776800547,46.95,34381565,1614214476.75,HUBG,4.464456460896995,0.3593531782613535
Financial Services,4994,MFC Bancorp Ltd.,-37927585.377,211220940.978,-2.0027875042650125,6.06,12534801,75960894.06,MFCB,-3.025782808757793,0.3596276662166362
Consumer Cyclical,8398,Lyon William Homes (Class A),69964000.0,2007802000.0,10.324176648847978,19.02,37976903,722320695.06,WLH,1.8422776601872985,0.3597569357237417
Consumer Cyclical,1859,Dana Incorporated,197000000.0,7860000000.0,14.388440422385788,19.61,144544761,2834522763.21,DAN,1.362899621107679,0.3606263057519084
Consumer Cyclical,387,Abercrombie & Fitch Company,37971000.0,3625583000.0,34.44641643227726,19.595,66749930,1307964878.35,ANF,0.5688545291358358,0.36075987733558984
Consumer Cyclical,3695,Honda Motor Company Ltd.,9821699354.0,141725529313.0,5.206255403268069,29.049,1760276613,51134275331.037,HMC,5.579634065160417,0.36079791396021005
Industrials,35,ABM Industries Incorporated,84400000.0,6291400000.0,26.925893085663507,34.51,65851793,2272545376.43,ABM,1.2816659373268697,0.3612145748847633
Utilities,1850,Cosan Limited Class A,215028056.665,4418194495.495,7.424654463985877,6.525,244675712,1596509020.8000002,CZZ,0.8788287766993399,0.3613487415340987
Basic Materials,6581,Resolute Forest Products Inc.,119000000.0,3633000000.0,11.040336544117647,14.525,90450950,1313800048.75,RFP,1.3156301840942521,0.36162952071290944
Consumer Cyclical,4665,Lifetime Brands Inc.,-12074000.0,615547000.0,-18.466599117939374,10.75,20740997,222965717.75,LCUT,-0.5821320932643691,0.36222370956238925
Consumer Cyclical,3210,Gannett Co. Inc.,25382000.0,3052235000.0,43.560469934599325,9.785,112994568,1105651847.88,GCI,0.2246302671824012,0.36224335540349945
Consumer Cyclical,3502,The Goodyear Tire & Rubber Company,265000000.0,15663000000.0,21.443216929716982,23.975,237015745,5682452486.375,GT,1.1180691814377142,0.36279464255730065
Financial Services,3467,Goldman Sachs Group Inc. (The) Dep Shs Repstg 1/1000 Int Sh Fxd/Fltg Non Cum Pfd Stk Ser K,5597000000.0,32680000000.0,2.123001764145078,26.97,440579936,11882440873.92,GS-K,12.703710592939938,0.36359978194369647
Consumer Cyclical,4351,J. Jill Inc.,57085000.0,711901000.0,4.544137964263817,5.93,43744033,259402115.69,JILL,1.304977984082995,0.3643794792955762
Consumer Defensive,7606,Truett-Hurst Inc.,-1348000.0,22988000.0,-6.224229876854599,1.866,4496389,8390261.874,THST,-0.2997961252907611,0.3649844211762659
Technology,4871,LSI Industries Inc.,-19541000.0,342023000.0,-6.390467033928663,4.87,25641913,124876116.31,LYTS,-0.762072626952599,0.3651102888109864
Industrials,5928,Pitney Bowes Inc.,249033000.0,3736555000.0,5.488901583886473,7.27,188021682,1366917628.1399999,PBI,1.3244908637717643,0.36582296477370196
Consumer Cyclical,1195,Companhia Brasileira de Distribuicao ADS,232742565.0,13693508070.0,21.548724405396147,18.81,266629739,5015305390.589999,CBD,0.8729054976121775,0.3662542399619004
Industrials,7980,USA Truck Inc.,18810000.0,497899000.0,9.704729913875598,21.96,8312658,182545969.68,USAK,2.2628141323749875,0.3666325292478997
Industrials,5321,MYR Group Inc.,31203000.0,1432290000.0,16.847510730891262,31.734,16565604,525692877.336,MYRG,1.8836017086971293,0.367029635992711
Technology,613,Aviat Networks Inc.,1845000.0,242506000.0,48.28884120325203,16.59,5370278,89092912.02,AVNW,0.3435576333292243,0.36738436170651445
Technology,1235,ChinaCache International Holdings Ltd.,-96571387.293,77359330.248,-0.29518710902961537,1.07,26641709,28506628.630000003,CCIH,-3.6248195374027996,0.3684963214988149
Technology,7752,Trio-Tech International,862000.0,42239000.0,18.095024883990718,4.39,3553055,15597911.45,TRT,0.24260812174311966,0.36927747934373445
Consumer Cyclical,5144,Modine Manufacturing Company,27200000.0,2153700000.0,29.259071231617646,15.7,50690875,795846737.5,MOD,0.5365857267210321,0.36952534591633
Healthcare,4804,LifePoint Health Inc.,43600000.0,6749800000.0,57.222268745986234,64.425,38725509,2494890917.325,LPNT,1.1258728710318566,0.3696244210680316
Consumer Defensive,1584,Coca-Cola Bottling Co. Consolidated,77120000.0,4588011000.0,22.104047678293565,182.23,9354465,1704664156.9499998,COKE,8.244191410198232,0.3715475304985101
Basic Materials,6117,POSCO,2671087575.0,56628308838.0,7.901612377587432,65.955,320004528,21105898644.239998,PKX,8.347030561392556,0.3727093229045372
Consumer Cyclical,7646,Tailored Brands Inc.,99540000.0,3312076000.0,12.440785072634116,24.81,49913573,1238355746.1299999,TLRD,1.9942471359443652,0.37389110217579546
Basic Materials,3368,GMS Inc.,56278000.0,2647456000.0,17.66801918653826,24.17,41138634,994320783.7800001,GMS,1.368008475925574,0.37557594301095093
Consumer Cyclical,8378,Whirlpool Corporation,-555000000.0,21171000000.0,-14.359797219027026,123.44,64563249,7969687456.559999,WHR,-8.596221667840787,0.376443600045345
Healthcare,869,Brookdale Senior Living Inc.,-1021504000.0,4686312000.0,-1.7305698632408684,9.42,187662849,1767784037.58,BKD,-5.443293680359718,0.3772228647132329
Industrials,8373,Wilhelmina International Inc.,795000.0,76072000.0,36.124450943396226,5.45,5269530,28718938.5,WHLM,0.1508673449055229,0.3775231162582816
Industrials,1894,Diana Containerships Inc.,-71551000.0,28793000.0,-0.15310517672708976,1.1,9958935,10954828.5,DCIX,-7.1846035745790084,0.38046846455735767
Technology,1559,PC Connection Inc.,63366000.0,2822962000.0,16.955076368162736,40.235,26702507,1074375369.145,CNXN,2.3730356104765744,0.38058442485056476
Consumer Cyclical,724,Build-A-Bear Workshop Inc.,5238000.0,356371000.0,26.010529305078276,9.1,14971775,136243152.5,BBW,0.34985831673265194,0.3823070690376041
Consumer Cyclical,3662,Hibbett Sports Inc.,37584000.0,990403000.0,10.109055657327588,20.475,18556227,379938747.82500005,HIBB,2.0254117391428763,0.38362035234646913
Technology,547,Amtech Systems Inc.,21577000.0,202271000.0,3.5981146174166936,5.18,14987745,77636519.1,ASYS,1.439642854879103,0.3838242709038863
Consumer Cyclical,463,Arcos Dorados Holdings Inc. Class A Shares,94260000.0,3343204000.0,13.630584535327818,6.15,208913642,1284818898.3000002,ARCO,0.45119121517205657,0.3843076576541546
Industrials,8257,Vertex Energy Inc,-3097873.0,162101664.0,-20.124959170372705,1.78,35025038,62344567.64,VTNR,-0.08844738441111756,0.3846016512205575
Technology,591,AU Optronics Corp American Depositary Shares,965778870.0,10615378217.17,4.230256196426207,4.245,962424511,4085492049.195,AUO,1.0034853216659192,0.3848654250101858
Industrials,1249,Cross Country Healthcare Inc.,37854000.0,863022000.0,8.830620699001429,9.21,36294714,334274315.94000006,CCRN,1.042961793279319,0.38733000542280505
Industrials,5834,Orion Group Holdings Inc. Common,10851000.0,598986000.0,21.406877511750064,8.04,28891297,232286027.87999997,ORN,0.3755802309602092,0.38779875970389954
Industrials,3491,Global Ship Lease Inc New Class A,-79672000.0,150198000.0,-0.7319589240887641,1.06,55015690,58316631.400000006,GSL,-1.4481686951486021,0.3882650328233399
Industrials,3813,Houston Wire & Cable Company,4838000.0,342220000.0,27.498518799090537,8.05,16526439,133037833.95000002,HWCC,0.2927430404093707,0.38874944173338793
Industrials,3613,Hudson Technologies Inc.,-34744000.0,149831000.0,-1.6781118322588073,1.375,42403140,58304317.5,HDSN,-0.8193732822616439,0.3891338741648924
Consumer Cyclical,4674,Lands' End Inc.,31999000.0,1443892000.0,17.616646613956686,17.5,32212290,563715075.0,LE,0.993378614187318,0.39041360087873606
Technology,7137,SMTC Corporation,-1544000.0,154657000.0,-39.16641733160622,2.62,23081278,60472948.36,SMTX,-0.06689404286885674,0.39101332859165766
Consumer Cyclical,6802,Salem Media Group Inc.,20973000.0,262711000.0,4.899767658417965,3.925,26181612,102762827.1,SALM,0.8010583916681677,0.3911630160137946
Basic Materials,8489,United States Steel Corporation,538000000.0,13139000000.0,9.594114755576209,29.125,177223476,5161633738.5,X,3.0357152006204866,0.3928482942765812
Technology,4451,JetPay Corporation,-471000.0,69426000.0,-57.98755709129511,1.769,15439310,27312139.389999997,JTPY,-0.030506544657759965,0.39339929406850455
Technology,7201,Sparton Corporation,-11549000.0,374990000.0,-12.922497317949606,15.175,9834723,149241921.525,SPA,-1.1743086205885005,0.3979890704418785
Energy,7628,Teekay Corporation,-86747000.0,1622568000.0,-7.467759245852883,6.45,100434994,647805711.3000001,TK,-0.8637129007047085,0.3992471879760972
Energy,1366,Chesapeake Energy Corporation,591000000.0,9206000000.0,6.2361878657868015,4.04,912274017,3685587028.68,CHK,0.6478316700759439,0.4003461903845318
Basic Materials,8221,Verso Corporation,39000000.0,2543000000.0,26.127659086153844,29.49,34553364,1018978704.3599999,VRS,1.1286889461761234,0.4006994511836413
Technology,7180,Sohu.com Limited,-579096000.0,1941854000.0,-1.3440530758285327,20,38916788,778335760.0,SOHU,-14.880364741303932,0.4008209474038728
Communication Services,307,Alaska Communications Systems Group Inc.,2916000.0,227188000.0,31.29762614814815,1.716,53184078,91263877.848,ALSK,0.054828439443850095,0.4017108203250172
Industrials,458,ArcBest Corporation,62543000.0,2948352000.0,18.99318001215164,46.25,25684118,1187890457.5,ARCB,2.435084591964575,0.4028998089441152
Energy,2019,Delek US Holdings Inc.,359700000.0,9771000000.0,10.950126466055046,46.92,83946302,3938760489.84,DK,4.284882018983993,0.4031072039545594
Basic Materials,5231,Arcelor Mittal NY Registry Shares NEW,5301000000.0,74533000000.0,5.694456692920204,29.79,1013303623,30186314929.17,MT,5.231403381649608,0.4050060366437685
Industrials,3078,L.B. Foster Company,6429000.0,568159000.0,35.81825789391819,21.8,10563100,230275580.0,FSTR,0.6086281489335517,0.40530129770011564
Technology,4312,Communications Systems Inc.,-10720778.0,71265921.0,-2.696983356991442,3.16,9149924,28913759.84,JCS,-1.171679458758346,0.40571649723014175
Industrials,5902,Pangaea Logistics Solutions Ltd.,21301149.0,385005805.0,7.343601525908296,3.55,44063986,156427150.29999998,PANL,0.4834140288624819,0.4062981603615041
Consumer Cyclical,5628,Nova Lifestyle Inc,7434861.0,115315445.0,6.307485129849771,1.7,27585456,46895275.199999996,NVFY,0.269521047612916,0.40666950728065954
Industrials,6647,RMG Networks Holding Corporation,-7734000.0,35066000.0,-1.8463937108869926,1.28,11156257,14280008.96,RMGN,-0.6932432625028269,0.4072323321736155
Consumer Cyclical,1811,Camping World Holdings Inc. Class A Commom Stock,32708000.0,4631336000.0,57.71123039256451,21.52,87714634,1887618923.68,CWH,0.3728910275108712,0.40757546498029945
Energy,8597,YPF Sociedad Anonima,1021147115.0,14473040960.0,5.77751413908661,15,393312793,5899691895.0,YPF,2.59627231347138,0.4076331927274529
Technology,3010,Formula Systems (1985) Ltd. ADS represents 1 ordinary shares,24984000.0,1452026000.0,23.821326335254568,40.38,14738782,595152017.1600001,FORTY,1.6951197188478668,0.4098769699440644
Industrials,7001,Seanergy Maritime Holdings Corp,-5954000.0,81282000.0,-5.6045562894860605,0.8737,38193348,33369528.147600003,SHIP,-0.15589102060390203,0.4105401952166532
Technology,5163,MoSys Inc.,-1606000.0,15052000.0,-3.8595593561643837,0.7586,8170910,6198452.326,MOSY,-0.19655093496318035,0.411802572814244
Basic Materials,916,BMC Stock Holdings Inc.,91849000.0,3554556000.0,15.958797905257542,21.775,67315712,1465799628.8,BMCH,1.3644511403221882,0.4123720736992187
Consumer Cyclical,6560,REV Group Inc.,57833000.0,2405372000.0,17.155532766759464,15.7,63194645,992155926.5,REVG,0.9151566560742608,0.41247504606356106
Energy,6537,Renewable Energy Group Inc.,219883000.0,2473649000.0,4.64711170133662,27.425,37258737,1021820862.225,REGI,5.901515126505764,0.4130823986042482
Consumer Cyclical,7741,tronc Inc.,251906000.0,1396764000.0,2.293138862551904,16.29,35460739,577655438.31,TRNC,7.1038000646292225,0.41356695784685166
Energy,8366,Weatherford International plc (Ireland),-2703000000.0,5821000000.0,-0.8926904514317424,2.42,997083591,2412942290.22,WFT,-2.7109061109802175,0.41452367122831124
Real Estate,6633,Realogy Holdings Corp.,406000000.0,6167000000.0,6.297316603017241,20.615,124021855,2556710540.825,RLGY,3.273616573466023,0.414579299631101
Industrials,2934,Fluor Corporation,252033000.0,19676539000.0,32.43855754579758,58.14,140618971,8175586973.940001,FLR,1.7923115082388137,0.41549923865879057
Consumer Cyclical,466,Ardagh Group S.A.,141834680.939667,9203383001.767683,27.03957152504456,16.23,236300000,3835149000.0,ARD,0.6002314047383284,0.41671078985449017
Healthcare,5808,Ophthotech Corporation,153249000.0,206654000.0,0.5621718750530182,2.38,36198436,86152277.67999999,OPHT,4.233580699453424,0.416891411151006
Energy,2565,Energy Transfer Equity L.P. representing Limited Partnership interests,1209000000.0,48360000000.0,16.683348516923076,17.415,1158206624,20170168356.96,ETE,1.0438551938380212,0.4170837129230769
Real Estate,6703,Ramco-Gershenson Properties Trust 7.25% PERP PFD CONV SHS BEN INT SER D,61444000.0,262879000.0,1.7871102141787645,54.9036,2000000,109807200.0,RPT-D,30.722,0.41771004911004683
Consumer Defensive,2779,Fresh Del Monte Produce Inc.,38800000.0,4284900000.0,46.41577356804124,36.92,48779307,1800932014.44,FDP,0.7954192543161797,0.42029732652804036
Energy,4498,Key Energy Services Inc.,-102405000.0,621970000.0,-2.562075125238026,12.96,20244545,262369303.20000002,KEG,-5.058399682482367,0.42183594578516653
Healthcare,1795,CVS Health Corporation,3007000000.0,186967000000.0,26.245528637578982,77.52,1018063785,78920304613.2,CVS,2.9536459741567174,0.42210820419218364
Energy,6327,PetroChina Company Limited,5712225495.0,330041103535.0,24.405037740944437,76.17,1830209778,139407078790.26,PTR,3.121076918976006,0.4223930816407425
Industrials,5345,Navistar International Corporation,287000000.0,9531000000.0,14.07951065,40.87,98870065,4040819556.5499997,NAV,2.9027997503592213,0.4239659591386003
Consumer Cyclical,5850,Overstock.com Inc.,-212296000.0,1808761000.0,-3.6245869745543953,26.525,29009814,769485316.3499999,OSTK,-7.3180751865558324,0.42542122278731126
Consumer Cyclical,4874,Macy's Inc,1666000000.0,25403000000.0,6.48770059394958,35.21,306972712,10808509189.52,M,5.42719249911699,0.42548160412234776
Healthcare,2216,Dynatronics Corporation,-1795149.0,58679658.0,-13.969388502012926,3.1,8089398,25077133.8,DYNT,-0.2219137938323717,0.4273565091330287
Technology,345,Amkor Technology Inc.,197340000.0,4374453000.0,9.473989495895408,7.805,239538384,1869597087.12,AMKR,0.8238345633992421,0.4273899130062661
Consumer Defensive,6186,Pilgrim's Pride Corporation,599069000.0,11119628000.0,7.934045627982754,19.09,248980659,4753040780.31,PPC,2.4060864904369943,0.4274460243013526
Industrials,7,American Airlines Group Inc.,1634000000.0,43523000000.0,11.385907176499387,40.4,460509216,18604572326.399998,AAL,3.5482460355364527,0.4274653017117386
Consumer Cyclical,2021,Dick's Sporting Goods Inc,332346000.0,8695516000.0,11.188140806719503,36.79,101069145,3718333844.5499997,DKS,3.2883032700039165,0.42761508857553704
Consumer Cyclical,2079,BRP Inc.,244272921.4,3696109026.4,6.470814161270353,46.29,34146569,1580644679.01,DOOO,7.153659314937323,0.4276509885720399
Consumer Defensive,998,BRF S.A.,-648883272.37,10039291816.14,-6.6206721658642955,5.295,811339645,4296043420.275,BRFS,-0.79976773767785,0.4279229550204252
Basic Materials,1138,China Advanced Construction Materials Group Inc.,605174.0,45557152.0,32.28691590848252,4.096,4770313,19539202.048,CADC,0.1268625350160461,0.4288942831193662
Healthcare,5976,Patterson Companies Inc.,165671000.0,5497888000.0,14.23319834406746,24.86,94852301,2358028202.86,PDCO,1.7466207804489635,0.42889709700525
Consumer Cyclical,7901,Unique Fabricating Inc.,6034342.0,175959370.0,12.54980232310333,7.75,9771587,75729799.25,UFAB,0.6175396074353122,0.43038230501734576
Industrials,2263,Echo Global Logistics Inc.,28145638.0,2269150225.0,34.76509155432895,34.275,28548087,978485681.925,ECHO,0.9859027681959915,0.43121238565199005
Consumer Cyclical,904,Bloomin' Brands Inc.,112822000.0,4184820000.0,16.01470553637588,19.525,92538341,1806811108.0249999,BLMN,1.219191945530988,0.4317536018335316
Real Estate,210,Ashford Hospitality Trust Inc,-96356000.0,1426262000.0,-6.396339939910333,6.25,98612117,616325731.25,AHT,-0.9771213004178787,0.4321265877167028
Energy,5936,Petroleo Brasileiro S.A.- Petrobras American Depositary Shares,3335000000.0,92632000000.0,12.029824855667167,9.145,4387038370,40119465893.65,PBR.A,0.7601939437789782,0.4331059017796226
Basic Materials,7666,TimkenSteel Corporation,-33300000.0,1474800000.0,-19.1995236972973,14.34,44584668,639344139.12,TMST,-0.7468935285107428,0.43351243498779496
Basic Materials,4575,Koppers Holdings Inc.,23400000.0,1593000000.0,29.66148705128205,32.775,21177080,694078797.0,KOP,1.1049682014706466,0.43570545951035783
Energy,6013,Pioneer Energy Services Corp. Common Stk,-59076000.0,542828000.0,-4.00499380035886,3.025,78214550,236599013.75,PES,-0.7553070368620672,0.4358636874848018
Consumer Defensive,1431,China Jo-Jo Drugstores Inc.,-16286481.0,97214904.0,-2.6046950564704554,1.466,28936778,42421316.548,CJJD,-0.5628298008852264,0.43636638830605645
Industrials,7493,TrueBlue Inc.,64135000.0,2499094000.0,17.008558788493023,26.85,40627334,1090843917.9,TBI,1.5786169971182455,0.43649575322096734
Technology,3572,Hamilton Beach Brands Holding Company Class A,16732000.0,752065000.0,19.62369537174277,23.96,13703826,328343670.96000004,HBB,1.2209728874257453,0.4365894848982469
Energy,342,American Midstream Partners LP representing Limited Partner Interests,-194801000.0,751996000.0,-1.6862471650556208,6.2,52981070,328482634.0,AMID,-3.676803809360589,0.4368143367783871
Energy,5113,Martin Midstream Partners L.P.,8135000.0,999644000.0,53.71782815365703,11.19,39052237,436994532.03,MMLP,0.20831073006137907,0.437150157486065
Consumer Cyclical,3011,Fossil Group Inc.,-141346000.0,2755266000.0,-8.536359927199921,24.43,49389289,1206580330.27,FOSL,-2.8618755779213587,0.43791791074618563
Financial Services,150,AmTrust Financial Services Inc.,168208000.0,6527250000.0,17.002346118198897,14.475,197577246,2859930635.85,AFSI,0.8513530955887502,0.4381524586694243
Consumer Cyclical,201,A.H. Belo Corporation (TX),10848000.0,225258000.0,9.10029444137168,4.55,21696702,98719994.1,AHC,0.4999838224260996,0.4382529992275524
Consumer Cyclical,5741,Owens-Illinois Inc.,140000000.0,7011000000.0,21.953290384285715,19.3,159246666,3073460653.8,OI,0.8791392844607497,0.4383769296534018
Basic Materials,145,Armstrong Flooring Inc.,-39300000.0,1135100000.0,-12.663149142493637,19.31,25772230,497661761.29999995,AFI,-1.5248971470454826,0.4384298839749801
Basic Materials,3045,Friedman Industries Inc.,6188677.0,146267327.0,10.36350945444398,9.15,7009444,64136412.6,FRD,0.8829055485713275,0.43848762341845493
Consumer Defensive,93,Archer-Daniels-Midland Company,1939000000.0,63491000000.0,14.37448361702424,49.795,559737398,27872123733.41,ADM,3.464124439296443,0.438993301939015
Financial Services,5817,Oppenheimer Holdings Inc. Class A (DE),44542000.0,932263000.0,9.198836069327825,30.9,13260018,409734556.2,OPY,3.359120628644697,0.43950532864652997
Industrials,8645,China Southern Airlines Company Limited,656435540.0,14607951880.0,9.835262555406429,30.2,213781983,6456215886.599999,ZNH,3.0705840164276146,0.4419658511772151
Consumer Cyclical,5255,Meritor Inc.,324000000.0,4020000000.0,5.487928059506173,20.56,86482913,1778088691.28,MTOR,3.7464047955923965,0.442310619721393
Basic Materials,3261,Griffon Corporation,115145000.0,1863212000.0,7.160518817794954,18.075,45615377,824497939.275,GFF,2.5242584315372425,0.4425142921336917
Consumer Defensive,5451,Natural Grocers by Vitamin Cottage Inc.,11812000.0,830062000.0,31.145923353369454,16.45,22364477,367895646.65,NGVC,0.5281590085920632,0.4432146594471256
Energy,5188,MRC Global Inc.,78000000.0,3954000000.0,22.497753875897434,19.43,90315224,1754824802.32,MRC,0.8636417709598992,0.4438100157612544
Energy,7000,SINOPEC Shangai Petrochemical Company Ltd.,1150077325.9699998,13544847472.289999,5.228962368532836,55.56,108238140,6013711058.400001,SHI,10.625435045077454,0.4439851442183332
Energy,871,Blueknight Energy Partners L.P. L.L.C.,16359000.0,219875000.0,5.972013418546366,2.419,40387006,97696167.514,BKEP,0.40505602222655473,0.4443259466242183
Consumer Cyclical,8243,Vista Outdoor Inc.,-129232000.0,2268550000.0,-7.821383280302093,17.57,57528344,1010773004.08,VSTO,-2.2464057022048123,0.4455590593462785
Industrials,8555,Xerium Technologies Inc.,-10514000.0,492202000.0,-20.921210212098156,13.39,16427603,219965604.17000002,XRM,-0.6400203365031405,0.44690107754539804
Financial Services,7619,Tiptree Inc.,31333000.0,533591000.0,7.6139086514218235,6.525,36561931,238566599.775,TIPT,0.8569842768971913,0.4470963711438162
Consumer Cyclical,764,Flanigan's Enterprises Inc.,3527000.0,112113000.0,14.228372271051885,27,1858647,50183469.0,BDL,1.8976169224172208,0.4476150758609617
Energy,3097,Flotek Industries Inc.,-86558000.0,271569000.0,-1.4049165020564245,2.135,56958671,121606762.585,FTK,-1.5196632660196725,0.44779324070494053
Financial Services,4516,Kingsway Financial Services Inc.,-16814000.0,161048000.0,-4.291995227191626,3.05,23660855,72165607.75,KFS,-0.7106252077534815,0.4480999934802047
Healthcare,2724,Fortress Biotech Inc.,-80158000.0,195027000.0,-1.091488913021782,1.61,54342589,87491568.29,FBIO,-1.4750493392944528,0.4486125935896056
Consumer Cyclical,5011,Magna International Inc.,2345000000.0,40962000000.0,7.849176243411513,53.68,342889685,18406318290.8,MGA,6.838934218741517,0.44935106417655385
